user,Movie,Genres,Keywords,
1,The Dark,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,"[{'id': 236, 'name': 'suicide'}, {'id': 439, 'name': 'paradise'}, {'id': 516, 'name': 'child abuse'}, {'id': 658, 'name': 'sea'}, {'id': 704, 'name': 'adolescence'}, {'id': 1209, 'name': 'wales'}, {'id': 1328, 'name': 'secret'}, {'id': 1449, 'name': 'underworld'}, {'id': 1450, 'name': 'shepherd'}, {'id': 1452, 'name': 'loss of child'}, {'id': 3020, 'name': 'sheep'}, {'id': 9457, 'name': 'single'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 173162, 'name': 'sect'}]"
1,Dracula,"[{'id': 27, 'name': 'Horror'}]",,"[{'id': 272, 'name': 'transylvania'}, {'id': 818, 'name': 'based on novel'}, {'id': 1299, 'name': 'monster'}, {'id': 3098, 'name': 'castle'}, {'id': 3133, 'name': 'vampire'}, {'id': 3633, 'name': 'dracula'}, {'id': 3986, 'name': 'spider'}, {'id': 6932, 'name': 'count'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 10327, 'name': 'undead'}, {'id': 10482, 'name': 'sanitarium'}, {'id': 155489, 'name': 'classic horror'}, {'id': 193227, 'name': 'lunatic'}]"
1,Saw,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",,"[{'id': 1366, 'name': 'shotgun'}, {'id': 13000, 'name': 'based on short film'}, {'id': 13125, 'name': 'sadist'}, {'id': 13132, 'name': 'pistol'}, {'id': 157367, 'name': 'chained'}, {'id': 157375, 'name': 'bludgeoning'}, {'id': 157376, 'name': 'game of death'}]"
1,A Nightmare on Elm Street,"[{'id': 27, 'name': 'Horror'}]",,"[{'id': 1468, 'name': 'child murderer'}, {'id': 2116, 'name': 'sleep'}, {'id': 3030, 'name': 'nightmare'}, {'id': 6152, 'name': 'supernatural'}, {'id': 12339, 'name': 'slasher'}, {'id': 13130, 'name': 'teenager'}, {'id': 18029, 'name': 'trapped'}, {'id': 33457, 'name': 'alcoholic'}, {'id': 157418, 'name': 'boiler room'}, {'id': 163841, 'name': 'booby trap'}, {'id': 170383, 'name': 'disfigurement'}, {'id': 171814, 'name': 'medical test'}, {'id': 225209, 'name': 'dreams'}]"
1,The Ring,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,"[{'id': 736, 'name': 'journalist'}, {'id': 793, 'name': 'drowning'}, {'id': 2041, 'name': 'island'}, {'id': 2136, 'name': 'television'}, {'id': 2673, 'name': 'horse'}, {'id': 3297, 'name': 'videoband'}, {'id': 5340, 'name': 'investigation'}, {'id': 6103, 'name': 'telephone'}, {'id': 9714, 'name': 'remake'}, {'id': 9853, 'name': 'paranormal'}, {'id': 10541, 'name': 'curse'}, {'id': 13209, 'name': 'cabin in the woods'}, {'id': 162846, 'name': 'ghost'}, {'id': 172784, 'name': 'well'}, {'id': 177185, 'name': 'videotape'}, {'id': 185408, 'name': 'supernatural horror'}, {'id': 211197, 'name': 'mysterious death'}, {'id': 234598, 'name': 'remake of asian film'}]"
1,The Birds,"[{'id': 27, 'name': 'Horror'}]",,"[{'id': 2589, 'name': 'pet shop'}, {'id': 3556, 'name': 'seclusion'}, {'id': 5500, 'name': 'playground'}, {'id': 9937, 'name': 'suspense'}, {'id': 10430, 'name': 'seagull'}, {'id': 11183, 'name': 'fireplace'}, {'id': 11237, 'name': 'rotoscoping'}, {'id': 11429, 'name': 'head wound'}, {'id': 11732, 'name': 'cigarette smoking'}, {'id': 14660, 'name': 'bird attack'}, {'id': 156037, 'name': 'socialite'}, {'id': 156390, 'name': 'face slap'}, {'id': 156866, 'name': 'based on short story'}, {'id': 159841, 'name': 'cigarette lighter'}, {'id': 168115, 'name': 'practical joke'}, {'id': 170378, 'name': 'schoolteacher'}, {'id': 172210, 'name': 'lovebird'}, {'id': 172218, 'name': 'shopkeeper'}, {'id': 172223, 'name': 'chased down street'}, {'id': 172225, 'name': 'unsolved mystery'}, {'id': 172226, 'name': 'blood on head'}, {'id': 172228, 'name': 'schoolhouse'}]"
1,Silent Hill,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,"[{'id': 1299, 'name': 'monster'}, {'id': 2784, 'name': 'mother role'}, {'id': 2871, 'name': 'burning of witches'}, {'id': 3002, 'name': 'fog'}, {'id': 3032, 'name': 'suffering'}, {'id': 3762, 'name': 'darkness'}, {'id': 4426, 'name': 'sadism'}, {'id': 6152, 'name': 'supernatural'}, {'id': 9748, 'name': 'revenge'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10292, 'name': 'gore'}, {'id': 10349, 'name': 'survival'}, {'id': 10842, 'name': 'good vs evil'}, {'id': 11221, 'name': 'blood'}, {'id': 12446, 'name': 'another dimension'}, {'id': 13006, 'name': 'torture'}, {'id': 13031, 'name': 'creature'}, {'id': 14819, 'name': 'violence'}, {'id': 15001, 'name': 'demon'}, {'id': 40929, 'name': 'witch burning'}, {'id': 41645, 'name': 'based on video game'}, {'id': 157444, 'name': 'dismemberment'}, {'id': 161264, 'name': 'religious fanatic'}, {'id': 166701, 'name': 'ghost town'}, {'id': 179878, 'name': 'sleepwalking'}]"
1,Poltergeist,"[{'id': 27, 'name': 'Horror'}]",,"[{'id': 970, 'name': 'parent child relationship'}, {'id': 2723, 'name': 'medium'}, {'id': 3093, 'name': 'ghostbuster'}, {'id': 3350, 'name': 'poltergeist'}, {'id': 3358, 'name': 'haunted house'}, {'id': 3737, 'name': 'dying and death'}, {'id': 10235, 'name': 'family relationships'}, {'id': 10842, 'name': 'good vs evil'}, {'id': 11627, 'name': 'paranormal phenomena'}, {'id': 196964, 'name': 'power of goodness'}, {'id': 230191, 'name': 'haunted'}]"
1,The Ninth Gate,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,"[{'id': 242, 'name': 'new york'}, {'id': 1523, 'name': 'obsession'}, {'id': 1745, 'name': 'passion for collection'}, {'id': 2335, 'name': 'southern france'}, {'id': 3095, 'name': 'antiquary'}, {'id': 3096, 'name': 'book'}, {'id': 3097, 'name': 'picture puzzle'}, {'id': 3098, 'name': 'castle'}, {'id': 3099, 'name': 'satanism'}, {'id': 15001, 'name': 'demon'}, {'id': 33626, 'name': 'millionaire'}]"
1,Angel Heart,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,"[{'id': 531, 'name': 'southern usa'}, {'id': 1453, 'name': 'amnesia'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2411, 'name': 'new orleans'}, {'id': 2835, 'name': 'neurosis'}, {'id': 2860, 'name': 'heart'}, {'id': 3177, 'name': 'fan'}, {'id': 3179, 'name': 'sanatorium'}, {'id': 5160, 'name': 'aggression by animal'}, {'id': 10629, 'name': 'vision'}, {'id': 11221, 'name': 'blood'}, {'id': 14765, 'name': 'church'}, {'id': 14964, 'name': 'drug'}, {'id': 15001, 'name': 'demon'}, {'id': 33841, 'name': 'incest'}]"
