,Unnamed: 0,id,keywords
0,0,862,"['game', 'board', 'giant', 'home', 'childrens', 'insect', 'based', 'book', 'recluse', 'disappearance', 'new']"
1,1,8844,"['friend', 'fishing', 'old', 'men', 'best', 'duringcreditsstinger']"
2,2,15602,"['single', 'novel', 'interracial', 'chick', 'based', 'relationship', 'flick', 'divorce', 'mother']"
3,3,31357,"['contraception', 'daughter', 'midlife', 'baby', 'pregnancy', 'aging', 'crisis', 'gynecologist', 'relationship', 'confidence', 'mother']"
4,4,11862,"['job', 'excon', 'fight', 'epic', 'shooting', 'film', 'betrayal', 'criminal', 'mastermind', 'honor', 'heist', 'gun', 'neonoir', 'chase', 'detective', 'cat', 'one', 'bank', 'robbery', 'obsession', 'movie', 'last', 'thief', 'crime', 'cult', 'gang', 'mouse', 'suspense', 'murder', 'loner', 'money']"
5,5,949,"['millionaire', 'chauffeur', 'long', 'fusion', 'relationship', 'brother', 'island', 'paris']"
6,6,11860,['']
7,7,45325,"['vice', 'terrorist', 'president', 'explosive', 'hostage']"
8,8,9091,"['cuba', 'satellite', 'car', 'bomb', 'virus', 'kgb', 'russia', 'computer', 'accused', 'service', 'electromagnetic', 'pulse', 'ejection', 'base', 'special', 'secret', 'st', 'army', 'red', 'cossack', 'petersburg', 'intelligence', 'time', 'seat', 'falsely']"
9,9,710,"['wildlife', 'widower', 'house', 'usa', 'conservation', 'new', 'president', 'love', 'white']"
10,10,9087,"['spoof', 'dracula']"
11,11,12110,"['frozen', 'bear', 'sled', 'attack', 'wolf', 'lake', 'race', 'dogsledding', 'goose', 'dog', 'alaska']"
12,12,21032,"['biography', 'election', 'scandal', 'historical', 'presidential', 'government', 'usa', 'watergate', 'president', 'figure']"
13,13,10858,"['ship', 'map', 'island', 'scalp', 'treasure', 'pirate', 'exotic']"
14,14,1408,"['prostitution', 'overdose', 'illegal', 'drug', '1970s', 'abuse', 'poker']"
15,15,524,"['life', 'carriage', 'rainstorm', 'drama', 'bowling', 'horse', 'servant', 'novel', 'based', 'inheritance', 'military', 'country', 'decorum', 'jane', 'austen', 'period', 'officer']"
16,16,4584,"['director', 'bet', 'eve', 'woman', 'film', 'witch', 'hotel', 'los', 'angeles', 'new', 'hoodlum', 'room', 'years', 'sperm', 'episode']"
17,17,5,"['animal', 'bat', 'indigenous', 'relationship', 'human', 'africa']"
18,18,9273,"['train', 'city', 'robbery', 'york', 'relationship', 'brother', 'new', 'subway']"
19,19,11517,"['mobster', 'gambling', 'job', 'novel', 'gangster', 'con', 'drug', 'business', 'based', 'murder', 'debt', 'violence', 'miami', 'mafia', 'travel', 'hollywood', 'crime', 'money', 'producer']"
20,20,8012,"['operation', 'psychologist', 'brutality', 'killer', 'police', 'psychology', 'serial', 'cowardliness', 'protection']"
21,21,1710,"['assassination', 'camera', 'police', 'double', 'rifle', 'cross', 'hidden', 'chase', 'rivalry', 'cat', 'bank', 'caribbean', 'mission', 'rescue', 'hitman', 'shootout', 'standoff', 'silencer', 'cia', 'detroit', 'competition', 'mexican', 'murder', 'michigan', 'sniper', 'seattle']"
22,22,9691,"['held', 'fainting', 'student', 'relationship', 'shot', 'healing', 'death', 'psionic', 'looking', 'pale', 'perception', 'teenage', 'extrasensory', 'ladder', 'dead', 'jacobs', 'flickering', 'boy', 'power', 'albino', 'gunpoint', 'animal', 'allegory', 'christ', 'teacher', 'light']"
23,23,12665,"['suicide', 'alcohol', 'prostitute', 'sight', 'alcoholism', 'angeles', 'dying', 'film', 'unsociability', 'attempted', 'death', 'casino', 'individual', 'rage', 'screenwriter', 'abuse', 'lovesickness', 'first', 'producer', 'hate', 'hotel', 'los', 'room', 'love']"
24,24,451,"['shakespeare', 'friends', 'moor', 'jealousy']"
25,25,16420,"['director', 'age', 'woman', '1970s', 'photocopier', 'friendship', 'coming', 'female', 'gynecologist', 'truth', 'dare']"
26,26,9263,"['captain', 'wars', 'old', 'flame', 'napoleonic', 'admiral']"
27,27,17015,"['children', 'dream', 'girl', 'aging', 'rescue', 'eye', 'clone', 'dystopia', 'friendship', 'childhood', 'island']"
28,28,902,"['diva', 'cabaret', 'servant', 'umbrella', 'uncle', 'shanghai', 'mistress']"
29,29,37557,"['naval', 'park', 'amusement', 'karate', 'teacher', 'rap', 'officer', 'school', 'high', 'music']"
30,30,9909,"['schizophrenia', 'time', 'postapocalyptic', 'monkey', 'philadelphia', 'stockholm', 'virus', 'dystopia', 'cassandra', 'syndrom', 'travel', 'lethal', 'subterranean', 'syndrome']"
31,31,63,['']
32,32,78802,"['pig', 'piglet', 'animal', 'german', 'sheep', 'talking', 'shepherd', 'grandson', 'heroism', 'affection', 'separation']"
33,33,9598,"['england', 'independent', 'painter', 'soldier', 'objector', 'conscientious', 'film']"
34,34,47018,"['family', 'deprived', 'man', 'despair', 'penalty', 'sentence', 'unsociability', 'row', 'death', 'begnadigung', 'selfdiscovery', 'petition', 'doomed', 'rape', 'case', 'right', 'chair', 'cowardliness', 'justice', 'cell', 'rage', 'injection', 'prison', 'socially', 'therapist', 'electric', 'hate', 'forgiveness', 'lethal', 'mercy', 'charity', 'court']"
35,35,687,['']
36,36,139405,"['twin', 'orphan']"
37,37,33689,"['director', 'match', 'conflict', 'child', 'interest', 'woman', 'gay', 'school', 'puberty', 'make', 'spoiled', 'high']"
38,38,9603,"['south', 'africa']"
39,39,34615,"['king', 'england', 'shakespeare', 'murder', 'kidnapping']"
