,Unnamed: 0,title,keywords,rating,genres
0,0,Sole Survivor,"['family', 'development', 'things', 'sense', 'like', 'hope', 'man', 'promises', 'living', 'plane', 'attempt', 'shot', 'begins', 'forced', 'happened', 'full', 'joe', 'seeking', 'turns', 'healing', 'another', 'plan', 'taking', 'weakness', 'large', 'live', 'potential', 'girl', 'getting', 'looking', 'crash', 'strange', 'may', 'tell', 'cope', 'picture', 'kill', 'take', 'safe', 'daughter', 'one', 'dead', 'keeping', 'novel', 'woman', 'really', 'around', 'laboratory', 'daughters', 'story', 'power', 'survivor', 'control', 'smuggled', 'beings', 'life', 'year', 'pictures', 'agents', 'powers', 'rose', 'able', 'number', 'two', 'made', 'lost', 'wife', 'heal']",1.0,"['thriller', 'mystery', 'speculative', 'fiction', 'childrens', 'literature', 'fiction']"
1,1,Fear Nothing,"['family', 'cottage', 'focuses', 'pet', 'lives', 'animals', 'escapes', 'knowledge', 'wild', 'visit', 'followed', 'food', 'night', 'manhunt', 'strange', 'creature', 'along', 'unknown', 'share', 'calls', 'christopher', 'fear', 'call', 'fort', 'machine', 'race', 'title', 'killed', 'mist', 'friends', 'returning', 'message', 'following', 'years', 'dying', 'found', 'endless', 'led', 'landscape', 'monkey', 'nurse', 'compelled', 'father', 'house', 'player', 'going', 'investigation', 'friend', 'communication', 'terrifying', 'reveals', 'precocious', 'deserted', 'near', 'talent', 'snow', 'lights', 'leaving', 'monkeys', 'mystery', 'another', 'shadowy', 'death', 'taking', 'answering', 'meal', 'hospital', 'advice', 'around', 'town', 'interrupted', 'life', 'mysterious', 'digging', 'legacy', 'hours', 'stops', 'see', 'frost', 'told', 'compound', 'leave', 'conspiracy', 'switched', 'intelligent', 'book', 'military', 'body', 'gun', 'hearing', 'home', 'group', 'first', 'outskirts', 'chased', 'deep', 'people', 'orson', 'mutated', 'alone', 'edge', 'best', 'surfer', 'set', 'funeral', 'roosevelt', 'figure']",5.0,"['thriller', 'mystery', 'speculative', 'fiction', 'suspense']"
2,2,False Memory,"['things', 'skeet', 'suicide', 'cause', 'use', 'killed', 'reading', 'short', 'psychopath', 'jumping', 'random', 'consciousness', 'based', 'dusty', 'brother', 'receiving', 'make', 'high', 'another', 'rehab', 'drugs', 'point', 'sexual', 'drug', 'videotaped', 'strange', 'case', 'shadow', 'detached', 'becomes', 'back', 'take', 'force', 'order', 'afraid', 'home', 'appears', 'horrific', 'believes', 'one', 'harm', 'woman', 'shattered', 'inheritance', 'murders', 'slitting', 'first', 'doctor', 'control', 'patients', 'friend', 'fear', 'psychologist', 'repeatedly', 'distorted', 'orders', 'agents', 'trying', 'world', 'character', 'help', 'mysterious', 'inability', 'employment', 'condition', 'recover', 'state', 'machine', 'room', 'frightened', 'couple', 'brainwashed']",10.0,"['speculative', 'fiction', 'horror', 'suspense']"
3,3,One Door Away from Heaven,"['family', 'quest', 'pledge', 'academic', 'listen', 'search', 'night', 'looking', 'getting', 'duplicate', 'blood', 'pile', 'mother', 'back', 'races', 'knocking', 'order', 'one', 'dead', 'older', 'mission', 'adrift', 'cass', 'burn', 'evil', 'year', 'time', 'reports', 'vow', 'race', 'killed', 'four', 'make', 'drug', 'free', 'noah', 'corner', 'house', 'going', 'taken', 'kind', 'location', 'comes', 'insane', 'watch', 'boy', 'us', 'lake', 'trash', 'got', 'disabled', 'sleeping', 'searching', 'without', 'maze', 'deformed', 'help', 'geneva', 'reveals', 'natural', 'money', 'things', 'wanting', 'end', 'precocious', 'man', 'starts', 'old', 'buried', 'true', 'aunt', 'lights', 'leaving', 'plan', 'idaho', 'racing', 'approach', 'kill', 'hidden', 'hand', 'believes', 'way', 'twins', 'mickey', 'stop', 'campground', 'town', 'nine', 'saw', 'country', 'last', 'next', 'matter', 'news', 'get', 'little', 'headed', 'able', 'murder', 'new', 'stops', 'save', 'goes', 'smoke', 'sneaks', 'thought', 'encounter', 'escape', 'brother', 'dog', 'loss', 'middle', 'determined', 'alien', 'recognize', 'intelligent', 'presence', 'planning', 'front', 'running', 'site', 'ufo', 'burning', 'drop', 'torture', 'shoots', 'gone', 'farmhouse', 'come', 'curtis', 'aliens', 'stakes', 'slaughter', 'set', 'disillusioned', 'earth']",7.771428571,"['speculative', 'fiction', 'horror', 'suspense']"
4,4,From the Corner of His Eye,"['stories', 'loving', 'late', 'genius', 'woman', 'young', 'book', 'relationship', 'raise', 'begins', 'mother', 'influence', 'dean', 'tale', 'three', 'good']",8.5,"['thriller', 'speculative', 'fiction', 'fantasy', 'suspense']"
5,5,By the Light of the Moon,"['forever', 'changes', 'lives', 'brother', 'new', 'autistic', 'doctor', 'evil', 'force', 'dylan', 'good']",10.0,"['thriller', 'speculative', 'fiction', 'suspense']"
6,6,The Eiger Sanction,"['works', 'assassin', 'conditions', 'carry', 'attempt', 'lead', 'collector', 'collection', 'someone', 'north', 'back', 'black', 'order', 'one', 'believes', 'training', 'poor', 'jonathan', 'art', 'secret', 'face', 'target', 'group', 'mountain', 'victim', 'climbing', 'first', 'finance', 'lecturer', 'discovery', 'government', 'team', 'difficult', 'couple', 'goes']",3.0,"['thriller', 'fiction']"
7,7,Dr. Futurity,"['humanity', 'pacific', 'hands', 'profession', 'society', 'distant', 'sir', 'previous', 'benefits', 'single', 'colonial', 'african', 'travels', 'pregnant', 'travel', 'back', 'take', 'involuntary', 'directed', 'second', 'controlled', 'order', 'one', 'heart', 'chest', 'unknown', 'traveling', 'novel', 'woman', 'mission', 'francis', 'year', 'time', 'struggles', 'coast', 'race', 'killed', 'cause', 'missile', 'arrow', 'murdered', 'years', 'attacks', 'make', 'dying', 'killing', 'day', 'weak', 'revealed', 'knowing', 'task', 'white', 'long', 'taken', 'formation', 'meet', 'crime', 'place', 'history', 'born', 'future', 'natural', 'left', 'population', 'deserted', 'man', 'chance', 'american', 'learning', 'old', 'stone', 'cover', 'en', 'death', 'disguise', 'relatives', 'north', 'poverty', 'kill', 'forward', 'way', 'reason', 'generation', 'saw', 'returned', 'disease', 'life', 'children', 'finding', 'european', 'ironic', 'wound', 'stands', 'observing', 'curiosity', 'new', 'wife', 'assignment', 'goes', 'save', 'twist', 'assassination', 'jim', 'far', 'human', 'attempt', 'nagging', 'many', 'chancellor', 'subjugation', 'desolate', 'return', 'native', 'change', 'genetics', 'better', 'doctor', 'people', 'must', 'spaceship', 'tribal', 'suspended', 'surgery', 'two', 'decision', 'al', 'stranded', 'earth']",4.0,"['science', 'fiction', 'speculative', 'fiction']"
8,8,Brian's Winter,"['family', 'bow', 'attacked', 'cree', 'still', 'learning', 'brian', 'help', 'around', 'winter', 'story', 'lake', 'fall', 'building', 'snow', 'attention', 'make', 'stranded', 'return', 'pay']",3.0,"['young', 'adult', 'literature']"
9,9,Magick Without Tears,"['end', 'addiction', 'topics', 'crowley', 'absent', 'students', 'religious', 'many', 'book', 'ethical', 'holy', 'mentally', 'individual', 'guardian', 'heroin', 'spiritual', 'evidence', 'issues', 'magical', 'orders', 'lucid', 'offer', 'letters', 'chronic', 'wit']",7.0,['philosophy']
